BugId,CId,project,ER_QA,R_QA,ER_Electra,R_Electra,ER_MLM,R_MLM,CodeBERT_MLM,CodeBERT_Base
108826,40137,AspectJ,3,7,1,4,5,7,4,4
44088,40086,Tomcat,8,4,2,10,4,9,10,9
108826,40086,AspectJ,6,6,8,9,6,8,7,7
43944,40035,Tomcat,1,10,7,10,9,5,8,8
103740,40035,AspectJ,5,4,1,2,1,1,3,3
43909,39984,Tomcat,7,5,10,9,10,8,11,11
43743,39780,Tomcat,4,7,3,6,3,6,5,7
108120,39729,AspectJ,9,9,3,11,5,9,3,3
108120,39423,AspectJ,1,7,5,8,5,6,3,4
44558,39372,Tomcat,1,7,4,10,4,5,5,7
44646,39321,Tomcat,9,4,4,11,1,3,5,1
44392,39117,Tomcat,4,4,11,7,11,11,7,8
108120,39015,AspectJ,1,9,3,11,5,8,3,3
44380,38964,Tomcat,7,5,9,8,8,10,11,9
43150,38760,Tomcat,1,9,3,10,1,7,9,10
43191,38556,Tomcat,11,9,10,9,10,1,11,11
108120,38505,AspectJ,10,11,3,11,5,9,2,3
43080,38454,Tomcat,9,5,10,10,9,11,10,10
108120,38454,AspectJ,10,8,6,2,8,6,6,4
108120,38352,AspectJ,10,11,3,11,5,8,3,4
108120,38301,AspectJ,9,6,1,8,5,6,3,3
108120,38148,AspectJ,1,7,3,8,5,6,1,3
45591,38097,Tomcat,1,6,3,6,4,5,4,3
108120,38097,AspectJ,9,8,3,11,5,6,3,4
108120,37995,AspectJ,1,8,3,11,5,7,3,3
45608,37893,Tomcat,11,1,2,4,3,1,1,1
108120,37740,AspectJ,10,6,5,11,5,6,2,2
108120,37689,AspectJ,10,9,3,11,5,9,1,2
45691,37638,Tomcat,10,8,5,9,4,4,8,5
108120,37485,AspectJ,10,11,3,11,5,8,4,4
108120,37434,AspectJ,1,11,3,11,5,8,3,3
46096,37281,Tomcat,1,6,4,11,9,10,11,11
46075,37230,Tomcat,8,3,2,4,4,1,2,4
42409,37128,Tomcat,9,10,6,9,8,4,3,8
46011,37077,Tomcat,6,7,1,2,4,7,4,1
108120,37026,AspectJ,1,7,3,8,5,7,3,3
46408,36873,Tomcat,4,6,4,1,6,5,3,3
108120,36771,AspectJ,11,11,3,2,5,9,1,1
108120,36669,AspectJ,1,1,6,2,8,1,6,6
39396,36618,Tomcat,4,6,8,7,6,3,5,4
46696,36516,Tomcat,11,5,6,11,2,4,8,8
104957,36465,AspectJ,5,5,5,5,4,5,6,5
76374,36414,AspectJ,10,2,1,9,1,1,2,1
109283,36363,AspectJ,8,10,1,11,1,10,2,2
109283,36312,AspectJ,6,10,2,11,1,10,2,2
109283,36261,AspectJ,9,10,1,10,1,10,2,2
109283,36210,AspectJ,11,10,2,11,1,10,2,2
109173,36108,AspectJ,10,10,2,11,1,2,4,4
77076,35547,AspectJ,1,1,1,1,1,1,1,1
42579,35445,Tomcat,11,9,4,1,5,11,8,8
47216,35292,Tomcat,7,6,10,9,11,5,9,11
38352,35190,Tomcat,2,9,2,10,3,9,5,6
47440,34986,Tomcat,3,11,5,11,10,7,6,7
108118,34833,AspectJ,6,10,3,9,1,10,3,5
77269,34629,AspectJ,1,1,1,11,1,1,1,1
108117,34476,AspectJ,7,11,2,11,2,6,2,3
108117,34425,AspectJ,6,11,2,11,2,6,2,3
47576,34272,Tomcat,6,10,1,8,1,8,2,6
108117,34272,AspectJ,11,11,2,11,2,6,2,3
47378,34221,Tomcat,5,9,6,11,8,8,8,9
108117,34119,AspectJ,6,2,2,11,1,1,2,2
46950,33915,Tomcat,11,9,9,9,11,1,1,1
108117,33915,AspectJ,4,4,2,11,2,1,2,2
46950,33864,Tomcat,4,9,3,11,6,5,5,5
47161,33813,Tomcat,7,5,11,8,11,4,11,10
108117,33762,AspectJ,4,7,2,11,2,6,2,3
47320,33609,Tomcat,7,5,5,9,4,1,10,11
47364,33456,Tomcat,11,5,8,6,7,7,11,11
