BugId,CId,project,Roberta_MLM,Roberta_QA,Roberta_Electra,Reformer_MLM,Reformer_QA,Reformer_Electra
89139,307428,Eclipse_Platform_UI,3,7,7,3,1,11
90223,226083,SWT,3,10,2,3,11,6
90246,215628,SWT,1,10,4,1,10,6
90246,215679,SWT,3,10,5,3,10,3
90646,291975,Eclipse_Platform_UI,9,9,10,9,3,4
91114,42891,AspectJ,10,6,1,10,11,2
91159,218178,SWT,6,10,1,6,9,3
91417,32589,AspectJ,10,8,1,10,10,11
91417,32691,AspectJ,10,8,3,10,10,11
91417,32895,AspectJ,9,10,3,9,8,11
91417,33048,AspectJ,10,8,3,10,10,11
91417,33150,AspectJ,5,5,10,5,10,8
91417,33354,AspectJ,11,10,3,11,10,11
93380,195993,SWT,1,2,1,1,8,2
93918,217311,SWT,3,11,2,3,4,3
94438,302328,Eclipse_Platform_UI,10,2,1,10,11,1
94818,217107,SWT,2,2,3,2,6,3
94946,214965,SWT,7,6,3,7,8,8
95974,301155,Eclipse_Platform_UI,8,7,6,8,10,11
96114,301002,Eclipse_Platform_UI,4,3,8,4,1,4
96212,210528,SWT,10,6,1,10,11,11
96494,213996,SWT,4,1,4,4,1,10
97011,212721,SWT,3,8,1,3,9,4
97125,212160,SWT,5,10,7,5,11,3
98332,299829,Eclipse_Platform_UI,7,3,7,7,5,4
99167,210069,SWT,5,11,8,5,6,1
99167,210171,SWT,3,8,5,3,6,2
99167,210273,SWT,9,8,5,9,9,1
99191,31263,AspectJ,11,4,3,11,11,11
99381,194157,SWT,3,4,8,3,10,5
100231,208896,SWT,11,10,9,11,3,11
101606,40800,AspectJ,10,1,1,10,10,11
102543,207315,SWT,1,7,8,1,4,2
103051,28968,AspectJ,2,10,3,2,3,11
103157,28560,AspectJ,3,1,10,3,2,5
103157,28815,AspectJ,6,6,5,6,6,8
103299,282693,Eclipse_Platform_UI,1,6,1,1,3,10
103740,40035,AspectJ,1,5,1,1,4,2
104024,41973,AspectJ,11,9,1,11,11,1
104212,43197,AspectJ,1,10,2,1,9,8
104720,42381,AspectJ,3,11,4,3,8,1
104957,36465,AspectJ,5,5,5,5,5,5
105133,205326,SWT,9,4,5,9,8,1
105213,205785,SWT,3,6,4,3,9,8
105665,296259,Eclipse_Platform_UI,7,1,6,7,10,11
105809,296514,Eclipse_Platform_UI,9,3,3,9,9,11
105849,205530,SWT,4,1,6,4,5,2
107377,290088,Eclipse_Platform_UI,2,10,5,2,9,9
107713,42279,AspectJ,1,8,2,1,1,1
107858,41871,AspectJ,1,11,1,1,2,8
108117,33762,AspectJ,6,4,2,6,7,11
108117,33915,AspectJ,1,4,2,1,4,11
108117,34119,AspectJ,1,6,2,1,2,11
108117,34272,AspectJ,6,11,2,6,11,11
108117,34425,AspectJ,6,6,2,6,11,11
108117,34476,AspectJ,6,7,2,6,11,11
108118,34833,AspectJ,10,6,3,10,10,9
108120,36669,AspectJ,1,1,6,1,1,2
108120,36771,AspectJ,9,11,3,9,11,2
108120,37026,AspectJ,7,1,3,7,7,8
108120,37434,AspectJ,8,1,3,8,11,11
108120,37485,AspectJ,8,10,3,8,11,11
108120,37689,AspectJ,9,10,3,9,9,11
108120,37740,AspectJ,6,10,5,6,6,11
108120,37995,AspectJ,7,1,3,7,8,11
108120,38097,AspectJ,6,9,3,6,8,11
108120,38148,AspectJ,6,1,3,6,7,8
108120,38301,AspectJ,6,9,1,6,6,8
108120,38352,AspectJ,8,10,3,8,11,11
108120,38454,AspectJ,6,10,6,6,8,2
108120,38505,AspectJ,9,10,3,9,11,11
108120,39015,AspectJ,8,1,3,8,9,11
108120,39423,AspectJ,6,1,5,6,7,8
108120,39729,AspectJ,9,9,3,9,9,11
108143,291414,Eclipse_Platform_UI,10,5,5,10,9,10
108624,291210,Eclipse_Platform_UI,4,2,7,4,4,2
108826,40086,AspectJ,8,6,8,8,6,9
108826,40137,AspectJ,7,3,1,7,7,4
108886,40341,AspectJ,9,4,5,9,6,10
108892,30906,AspectJ,7,8,2,7,8,4
108996,186915,SWT,10,2,3,10,10,11
109016,40188,AspectJ,10,8,4,10,11,10
109173,36108,AspectJ,2,10,2,2,10,11
109283,36210,AspectJ,10,11,2,10,10,11
109283,36261,AspectJ,10,9,1,10,10,10
109283,36312,AspectJ,10,6,2,10,10,11
109283,36363,AspectJ,10,8,1,10,10,11
110346,199869,SWT,9,9,2,9,7,8
112027,31773,AspectJ,2,10,2,2,1,10
112490,289323,Eclipse_Platform_UI,3,8,9,3,5,3
112615,31314,AspectJ,10,4,5,10,11,9
112615,31365,AspectJ,10,6,4,10,11,11
113073,31620,AspectJ,1,10,1,1,11,2
113073,31671,AspectJ,1,10,3,1,4,3
113118,30447,AspectJ,2,11,1,2,2,1
113178,274278,Eclipse_Platform_UI,6,1,4,6,4,1
113244,195840,SWT,2,4,1,2,10,10
113510,30804,AspectJ,11,10,3,11,8,10
113557,288864,Eclipse_Platform_UI,1,1,1,1,1,1
113861,31161,AspectJ,2,5,1,2,8,6
114390,287589,Eclipse_Platform_UI,5,4,4,5,3,4
114390,287844,Eclipse_Platform_UI,1,1,1,1,3,1
115235,30294,AspectJ,1,1,1,1,3,1
115235,30396,AspectJ,1,1,1,1,3,11
115607,29172,AspectJ,11,4,1,11,11,3
116255,30192,AspectJ,3,6,2,3,2,4
116305,30243,AspectJ,1,4,1,1,3,2
116755,29325,AspectJ,5,10,7,5,8,6
116755,29529,AspectJ,4,1,7,4,6,8
116755,29631,AspectJ,8,2,7,8,7,11
116755,29682,AspectJ,1,2,6,1,1,5
116755,29835,AspectJ,5,2,9,5,5,5
116755,29937,AspectJ,4,10,6,4,9,11
117149,359397,Birt,9,10,6,9,8,8
117189,28917,AspectJ,10,8,3,10,10,7
117614,27693,AspectJ,3,7,2,3,6,2
117614,27744,AspectJ,3,3,2,3,6,4
117614,27897,AspectJ,1,2,1,1,1,1
117614,27948,AspectJ,1,3,1,1,5,1
117614,27999,AspectJ,2,3,1,2,5,1
117816,194055,SWT,1,1,3,1,4,10
118240,193953,SWT,3,11,3,3,3,8
118698,27132,AspectJ,11,5,1,11,10,2
118715,26673,AspectJ,10,3,6,10,6,10
118715,26724,AspectJ,2,4,5,2,4,10
118715,26826,AspectJ,6,4,6,6,5,10
118715,26877,AspectJ,3,6,4,3,7,10
119352,26571,AspectJ,11,9,1,11,11,11
120543,26214,AspectJ,11,6,3,11,11,10
120921,279174,Eclipse_Platform_UI,11,11,5,11,4,8
121383,304419,Birt,1,3,5,1,11,3
122053,280449,Eclipse_Platform_UI,8,9,10,8,3,5
123375,275706,Eclipse_Platform_UI,11,7,6,11,7,11
123375,275961,Eclipse_Platform_UI,11,6,6,11,7,11
123375,276522,Eclipse_Platform_UI,5,5,5,5,3,11
123496,279021,Eclipse_Platform_UI,9,11,7,9,8,9
123922,180183,SWT,1,1,1,1,11,11
123922,180387,SWT,1,10,1,1,11,11
123922,180540,SWT,1,11,1,1,11,11
123922,180897,SWT,1,11,1,1,11,11
123977,279480,Eclipse_Platform_UI,1,1,1,1,1,1
123989,277797,Eclipse_Platform_UI,11,10,6,11,6,6
124414,191658,SWT,1,1,1,1,1,2
124839,359754,Birt,10,1,3,10,10,10
125060,356643,Birt,2,11,4,2,1,11
126779,272748,Eclipse_Platform_UI,10,11,1,10,11,11
126839,256275,Eclipse_Platform_UI,4,1,1,4,1,11
126839,256530,Eclipse_Platform_UI,4,1,1,4,1,11
126839,258774,Eclipse_Platform_UI,1,1,11,1,11,11
127070,355368,Birt,9,11,10,9,7,8
127523,261528,Eclipse_Platform_UI,3,2,1,3,1,5
127523,261630,Eclipse_Platform_UI,11,9,4,11,7,11
127861,265506,Eclipse_Platform_UI,11,7,1,11,1,11
127861,268464,Eclipse_Platform_UI,1,7,7,1,7,11
127861,268617,Eclipse_Platform_UI,1,7,7,1,11,11
127861,269688,Eclipse_Platform_UI,1,7,1,1,1,11
127861,271218,Eclipse_Platform_UI,11,7,1,11,7,11
128359,353634,Birt,2,9,7,2,10,8
129246,261426,Eclipse_Platform_UI,5,2,5,5,11,8
129535,188649,SWT,10,6,3,10,10,2
129700,355317,Birt,7,11,9,7,8,5
130101,188139,SWT,3,7,4,3,4,10
130338,251430,Eclipse_Platform_UI,8,1,3,8,1,11
131008,347055,Birt,1,5,5,1,4,9
131008,347208,Birt,11,7,11,11,11,11
131160,186711,SWT,3,11,3,3,10,2
131649,342822,Birt,1,11,11,1,5,8
131978,253521,Eclipse_Platform_UI,8,7,3,8,9,7
132101,253929,Eclipse_Platform_UI,11,11,3,11,10,8
132401,306714,Birt,6,8,8,6,6,11
132914,325533,Birt,7,3,9,7,3,8
132943,331908,Birt,4,9,6,4,5,11
133183,174522,SWT,3,11,9,3,3,11
134057,349503,Birt,8,6,6,8,6,6
134353,176919,SWT,2,9,7,2,7,1
134760,173145,SWT,1,2,5,1,11,5
134760,173553,SWT,11,11,7,11,7,5
134948,345780,Birt,7,1,6,7,3,8
135088,251022,Eclipse_Platform_UI,1,4,1,1,1,8
135444,332316,Birt,9,3,5,9,9,11
136067,343587,Birt,8,5,11,8,8,1
136256,339813,Birt,4,3,9,4,9,6
136724,245055,Eclipse_Platform_UI,7,2,2,7,11,5
137310,248268,Eclipse_Platform_UI,1,10,2,1,1,11
137320,178755,SWT,1,11,1,1,3,8
137640,247146,Eclipse_Platform_UI,10,4,5,10,9,9
137640,247197,Eclipse_Platform_UI,10,5,2,10,9,9
138404,246279,Eclipse_Platform_UI,2,5,6,2,1,9
138556,337722,Birt,5,2,4,5,6,6
138562,331398,Birt,11,7,3,11,6,11
138824,246483,Eclipse_Platform_UI,9,9,1,9,1,9
139110,334254,Birt,5,2,5,5,3,10
139365,333387,Birt,6,8,9,6,5,6
139511,245616,Eclipse_Platform_UI,10,10,8,10,11,11
140697,215373,Eclipse_Platform_UI,4,8,5,4,7,8
142430,322116,Birt,11,11,10,11,10,8
142787,305541,Birt,10,5,6,10,9,7
143104,324105,Birt,1,9,11,1,7,6
143105,329154,Birt,11,10,4,11,8,11
145303,320637,Birt,6,7,10,6,8,10
145526,176154,SWT,3,8,3,3,6,10
145698,318903,Birt,6,11,9,6,7,6
145724,319617,Birt,7,11,8,7,9,5
145970,318750,Birt,2,2,3,2,5,11
146208,287589,Birt,7,3,10,7,4,4
146250,172992,SWT,3,9,1,3,9,4
146481,317424,Birt,9,1,2,9,9,4
146548,316506,Birt,3,9,3,3,6,11
146867,308856,Birt,10,7,4,10,6,1
147218,315486,Birt,6,3,2,6,1,7
147530,218892,Eclipse_Platform_UI,1,11,8,1,1,11
147545,243372,Eclipse_Platform_UI,7,6,4,7,2,11
147737,242760,Eclipse_Platform_UI,11,11,1,11,7,6
147819,313752,Birt,7,8,4,7,2,10
147977,265251,Birt,11,4,8,11,11,10
148392,310284,Birt,4,1,9,4,5,11
148626,251226,Birt,9,11,9,9,6,7
148724,311763,Birt,6,9,7,6,3,5
148743,308907,Birt,8,3,4,8,9,11
148747,311967,Birt,9,5,2,9,3,9
148747,312069,Birt,9,5,2,9,9,9
150347,308142,Birt,1,11,5,1,6,9
150347,308346,Birt,10,1,6,10,7,3
150764,172023,SWT,1,4,6,1,1,11
150805,212109,Eclipse_Platform_UI,10,3,2,10,7,1
151361,292842,Birt,1,4,2,1,1,5
152443,260406,Birt,10,11,6,10,11,8
154328,300594,Birt,8,11,9,8,10,9
155496,292332,Birt,10,5,10,10,2,6
155551,288252,Birt,10,4,5,10,7,9
156166,290955,Birt,10,1,7,10,11,11
157135,289221,Birt,4,6,7,4,3,11
157722,288711,Birt,2,10,7,2,4,8
160276,286161,Birt,3,9,11,3,6,1
160650,284631,Birt,1,7,8,1,2,11
160700,233682,Eclipse_Platform_UI,10,3,4,10,8,10
161222,280194,Birt,2,9,6,2,3,11
161401,232305,Eclipse_Platform_UI,5,4,8,5,3,4
161828,232815,Eclipse_Platform_UI,4,7,3,4,8,11
161912,283356,Birt,4,2,10,4,3,10
162805,227766,Eclipse_Platform_UI,4,1,3,4,3,6
162916,231744,Eclipse_Platform_UI,1,10,1,1,7,4
163732,281877,Birt,8,4,8,8,9,8
164217,227409,Eclipse_Platform_UI,10,8,9,10,11,3
166015,266679,Birt,7,3,7,7,3,7
166029,278358,Birt,1,11,8,1,4,11
166443,274839,Birt,5,5,11,5,8,9
167080,224808,Birt,10,10,6,10,9,11
167450,220167,Eclipse_Platform_UI,2,1,11,2,3,4
167893,214557,Eclipse_Platform_UI,1,11,10,1,4,9
169529,215526,Eclipse_Platform_UI,10,4,5,10,5,9
169694,213792,Eclipse_Platform_UI,9,7,4,9,9,11
169696,213996,Eclipse_Platform_UI,9,4,2,9,8,10
169697,213384,Eclipse_Platform_UI,7,4,5,7,7,11
171415,211854,Eclipse_Platform_UI,7,8,2,7,11,11
171998,212262,Eclipse_Platform_UI,7,4,3,7,7,2
172097,271065,Birt,5,4,9,5,11,7
172604,260253,Birt,10,11,7,10,10,6
173601,262242,Birt,11,7,9,11,10,8
175406,267342,Birt,1,6,3,1,11,10
